Time [s],TL_CLK,TL_IN_RDY,TL_IN_DATA,TL_IN_VAL,TL_OUT_VAL,TL_OUT_DATA,TL_OUT_RDY
4.339662813,1,1,0,0,0,0,0
4.340162813,0,1,0,0,0,0,0
4.340662875,1,1,0,0,0,0,0
4.341162875,0,1,0,0,0,0,0
4.341662937,1,1,0,0,0,0,0
4.342162938,0,1,0,0,0,0,0
4.342663000,1,1,0,0,0,0,0
4.343163000,0,1,0,0,0,0,0
4.343663000,1,1,0,0,0,0,0
4.344163062,0,1,0,0,0,0,0
4.344663062,1,1,0,0,0,0,0
4.345163125,0,1,0,0,0,0,0
4.345663125,1,1,0,0,0,0,0
4.346163188,0,1,0,0,0,0,0
4.346663187,1,1,0,0,0,0,0
4.347163187,0,1,0,0,0,0,0
4.347663250,1,1,0,0,0,0,0
4.348163250,0,1,0,0,0,0,0
4.348663313,1,1,0,0,0,0,0
4.349163312,0,1,0,0,0,0,0
4.349663375,1,1,0,0,0,0,0
4.350163375,0,1,0,0,0,0,0
4.350663375,1,1,0,0,0,0,0
4.351163438,0,1,0,0,0,0,0
4.351663438,1,1,0,0,0,0,0
4.352163500,0,1,0,0,0,0,0
4.352663500,1,1,0,0,0,0,0
4.353163562,0,1,0,0,0,0,0
4.353663563,1,1,0,0,0,0,0
4.354163563,0,1,0,0,0,0,0
4.354663625,1,1,0,0,0,0,0
4.355163625,0,1,0,0,0,0,0
4.355663687,1,1,0,0,0,0,0
4.356163687,0,1,0,0,0,0,0
4.356663750,1,1,0,0,0,0,0
4.357163750,0,1,0,0,0,0,0
4.357663750,1,1,0,0,0,0,0
4.358163812,0,1,0,0,0,0,0
4.358663812,1,1,0,0,0,0,0
4.359163875,0,1,0,0,0,0,0
4.359663875,1,1,0,0,0,0,0
4.360163875,0,1,0,0,0,0,0
4.360663938,1,1,0,0,0,0,0
4.361163937,0,1,0,0,0,0,0
4.361664000,1,1,0,0,0,0,0
4.362164000,0,1,0,0,0,0,0
4.362664063,1,1,0,0,0,0,0
4.363164063,0,1,0,0,0,0,0
4.363664062,1,1,0,0,0,0,0
4.364164125,0,1,0,0,0,0,0
4.364664125,1,1,0,0,0,0,0
4.365164187,0,1,0,0,0,0,0
4.365664188,1,1,0,0,0,0,0
4.366164250,0,1,0,0,0,0,0
4.366664250,1,1,0,0,0,0,0
4.367164250,0,1,0,0,0,0,0
4.367664312,1,1,0,0,0,0,0
4.368164313,0,1,0,0,0,0,0
4.368664375,1,1,0,0,0,0,0
4.369164375,0,1,0,0,0,0,0
4.369664437,1,1,0,0,0,0,0
4.370164437,0,1,0,0,0,0,0
4.370664438,1,1,0,0,0,0,0
4.371164500,0,1,0,0,0,0,0
4.371664500,1,1,0,0,0,0,0
4.372164563,0,1,0,0,0,0,0
4.372664562,1,1,0,0,0,0,0
4.373164563,0,1,0,0,0,0,0
4.373664625,1,1,0,0,0,0,0
4.374164625,0,1,0,0,0,0,0
4.374664688,1,1,0,0,0,0,0
4.375164687,0,1,0,0,0,0,0
4.375664750,1,1,0,0,0,0,0
4.376164750,0,1,0,0,0,0,0
4.376664750,1,1,0,0,0,0,0
4.377164813,0,1,0,0,0,0,0
4.377664812,1,1,0,0,0,0,0
4.378164875,0,1,0,0,0,0,0
4.378664875,1,1,0,0,0,0,0
4.379164937,0,1,0,0,0,0,0
4.379664938,1,1,0,0,0,0,0
4.380164938,0,1,0,0,0,0,0
4.380665000,1,1,0,0,0,0,0
4.381165000,0,1,0,0,0,0,0
4.381665062,1,1,0,0,0,0,0
4.382165063,0,1,0,0,0,0,0
4.382665125,1,1,0,0,0,0,0
4.383165125,0,1,0,0,0,0,0
4.383665125,1,1,0,0,0,0,0
4.384165187,0,1,0,0,0,0,0
4.384665187,1,1,0,0,0,0,0
4.385165250,0,1,0,0,0,0,0
4.385665250,1,1,0,0,0,0,0
4.386165313,0,1,0,0,0,0,0
4.386665312,1,1,0,0,0,0,0
4.387165312,0,1,0,0,0,0,0
4.387665375,1,1,0,0,0,0,0
4.388165375,0,1,0,0,0,0,0
4.388665438,1,1,0,0,0,0,0
4.389165437,0,1,0,0,0,0,0
4.389665500,1,1,0,0,0,0,0
4.390165500,0,1,0,0,0,0,0
4.390665500,1,1,0,0,0,0,0
4.391165563,0,1,0,0,0,0,0
4.391665563,1,1,0,0,0,0,0
4.392165625,0,1,0,0,0,0,0
4.392665625,1,1,0,0,0,0,0
4.393165625,0,1,0,0,0,0,0
4.393665688,1,1,0,0,0,0,0
4.394165688,0,1,0,0,0,0,0
4.394665750,1,1,0,0,0,0,0
4.395165750,0,1,0,0,0,0,0
4.395665812,1,1,0,0,0,0,0
4.396165812,0,1,0,0,0,0,0
4.396665813,1,1,0,0,0,0,0
4.397165875,0,1,0,0,0,0,0
4.397665875,1,1,0,0,0,0,0
4.398165937,0,1,0,0,0,0,0
4.398665937,1,1,0,0,0,0,0
4.399166000,0,1,0,0,0,0,0
4.399666000,1,1,0,0,0,0,0
4.400166000,0,1,0,0,0,0,0
4.400666063,1,1,0,0,0,0,0
4.401166062,0,1,0,0,0,0,0
4.401666125,1,1,0,0,0,0,0
4.402166125,0,1,0,0,0,0,0
4.402666188,1,1,0,0,0,0,0
4.403166188,0,1,0,0,0,0,0
4.403666187,1,1,0,0,0,0,0
4.404166250,0,1,0,0,0,0,0
4.404666250,1,1,0,0,0,0,0
4.405166312,0,1,0,0,0,0,0
4.405666313,1,1,0,0,0,0,0
4.406166312,0,1,0,0,0,0,0
4.406666375,1,1,0,0,0,0,0
4.407166375,0,1,0,0,0,0,0
4.407666437,1,1,0,0,0,0,0
4.408166438,0,1,0,0,0,0,0
4.408666500,1,1,0,0,0,0,0
4.409166500,0,1,0,0,0,0,0
4.409666500,1,1,0,0,0,0,0
4.410166562,0,1,0,0,0,0,0
4.410666563,1,1,0,0,0,0,0
4.411166625,0,1,0,0,0,0,0
4.411666625,1,1,0,0,0,0,0
4.412166688,0,1,0,0,0,0,0
4.412666687,1,1,0,0,0,0,0
4.413166688,0,1,0,0,0,0,0
4.413666750,1,1,0,0,0,0,0
4.414166750,0,1,0,0,0,0,0
4.414666813,1,1,0,0,0,0,0
4.415166812,0,1,0,0,0,0,0
4.415666875,1,1,0,0,0,0,0
4.416166875,0,1,0,0,0,0,0
4.416666875,1,1,0,0,0,0,0
4.417166938,0,1,0,0,0,0,0
4.417666937,1,1,0,0,0,0,0
4.418167000,0,1,0,0,0,0,0
4.418667000,1,1,0,0,0,0,0
4.419167062,0,1,0,0,0,0,0
4.419667063,1,1,0,0,0,0,0
4.420167063,0,1,0,0,0,0,0
4.420667125,1,1,0,0,0,0,0
4.421167125,0,1,0,0,0,0,0
4.421667187,1,1,0,0,0,0,0
4.422167188,0,1,0,0,0,0,0
4.422667250,1,1,0,0,0,0,0
4.423167250,0,1,0,0,0,0,0
4.423667250,1,1,0,0,0,0,0
4.424167312,0,1,0,0,0,0,0
4.424667312,1,1,0,0,0,0,0
4.425167375,0,1,0,0,0,0,0
4.425667375,1,1,0,0,0,0,0
4.426167375,0,1,0,0,0,0,0
4.426667437,1,1,0,0,0,0,0
4.427167437,0,1,0,0,0,0,0
4.427667500,1,1,0,0,0,0,0
4.428167500,0,1,0,0,0,0,0
4.428667563,1,1,0,0,0,0,0
4.429167562,0,1,0,0,0,0,0
4.429667562,1,1,0,0,0,0,0
4.430167625,0,1,0,0,0,0,0
4.430667625,1,1,0,0,0,0,0
4.431167688,0,1,0,0,0,0,0
4.431667688,1,1,0,0,0,0,0
4.432167750,0,1,0,0,0,0,0
4.432667750,1,1,0,0,0,0,0
4.433167750,0,1,0,0,0,0,0
4.433667813,1,1,0,0,0,0,0
4.434167813,0,1,0,0,0,0,0
4.434667875,1,1,0,0,0,0,0
4.435167875,0,1,0,0,0,0,0
4.435667938,1,1,0,0,0,0,0
4.436167937,0,1,0,0,0,0,0
4.436667938,1,1,0,0,0,0,0
4.437168000,0,1,0,0,0,0,0
4.437668000,1,1,0,0,0,0,0
4.438168062,0,1,0,0,0,0,0
4.438668062,1,1,0,0,0,0,0
4.439168125,0,1,0,0,0,0,0
4.439668125,1,1,0,0,0,0,0
4.440168125,0,1,0,0,0,0,0
4.440668188,1,1,0,0,0,0,0
4.441168187,0,1,0,0,0,0,0
4.441668250,1,1,0,0,0,0,0
4.442168250,0,1,0,0,0,0,0
4.442668313,1,1,0,0,0,0,0
4.443168313,0,1,0,0,0,0,0
4.443668312,1,1,0,0,0,0,0
4.444168375,0,1,0,0,0,0,0
4.444668375,1,1,0,0,0,0,0
4.445168437,0,1,0,0,0,0,0
4.445668438,1,1,0,0,0,0,0
4.446168437,0,1,0,0,0,0,0
4.446668500,1,1,0,0,0,0,0
4.447168500,0,1,0,0,0,0,0
4.447668562,1,1,0,0,0,0,0
4.448168563,0,1,0,0,0,0,0
4.448668625,1,1,0,0,0,0,0
4.449168625,0,1,0,0,0,0,0
4.449668625,1,1,0,0,0,0,0
4.450168687,0,1,0,0,0,0,0
4.450668688,1,1,0,0,0,0,0
4.451168750,0,1,0,0,0,0,0
4.451668750,1,1,0,0,0,0,0
4.452168813,0,1,0,0,0,0,0
4.452668812,1,1,0,0,0,0,0
4.453168813,0,1,0,0,0,0,0
4.453668875,1,1,0,0,0,0,0
4.454168875,0,1,0,0,0,0,0
4.454668938,1,1,0,0,0,0,0
4.455168937,0,1,0,0,0,0,0
4.455669000,1,1,0,0,0,0,0
4.456169000,0,1,0,0,0,0,0
4.456669000,1,1,0,0,0,0,0
4.457169063,0,1,0,0,0,0,0
4.457669062,1,1,0,0,0,0,0
4.458169125,0,1,0,0,0,0,0
4.458669125,1,1,0,0,0,0,0
4.459169125,0,1,0,0,0,0,0
4.459669188,1,1,0,0,0,0,0
4.460169188,0,1,0,0,0,0,0
4.460669250,1,1,0,0,0,0,0
4.461169250,0,1,0,0,0,0,0
4.461669312,1,1,0,0,0,0,0
4.462169313,0,1,0,0,0,0,0
4.462669313,1,1,0,0,0,0,0
4.463169375,0,1,0,0,0,0,0
4.463669375,1,1,0,0,0,0,0
4.464169437,0,1,0,0,0,0,0
4.464669437,1,1,0,0,0,0,0
4.465169500,0,1,0,0,0,0,0
4.465669500,1,1,0,0,0,0,0
4.466169500,0,1,0,0,0,0,0
4.466669562,1,1,0,0,0,0,0
4.467169562,0,1,0,0,0,0,0
4.467669625,1,1,0,0,0,0,0
4.468169625,0,1,0,0,0,0,0
4.468669688,1,1,0,0,0,0,0
4.469169687,0,1,0,0,0,0,0
4.469669687,1,1,0,0,0,0,0
4.470169750,0,1,0,0,0,0,0
4.470669750,1,1,0,0,0,0,0
4.471169813,0,1,0,0,0,0,0
4.471669813,1,1,0,0,0,0,0
4.472169875,0,1,0,0,0,0,0
4.472669875,1,1,0,0,0,0,0
4.473169875,0,1,0,0,0,0,0
4.473669938,1,1,0,0,0,0,0
4.474169938,0,1,0,0,0,0,0
4.474670000,1,1,0,0,0,0,0
4.475170000,0,1,0,0,0,0,0
4.475670062,1,1,0,0,0,0,0
4.476170062,0,1,0,0,0,0,0
4.476670063,1,1,0,0,0,0,0
4.477170125,0,1,0,0,0,0,0
4.477670125,1,1,0,0,0,0,0
4.478170187,0,1,0,0,0,0,0
4.478670187,1,1,0,0,0,0,0
4.479170188,0,1,0,0,0,0,0
4.479670250,1,1,0,0,0,0,0
4.480170250,0,1,0,0,0,0,0
4.480670313,1,1,0,0,0,0,0
4.481170312,0,1,0,0,0,0,0
4.481670375,1,1,0,0,0,0,0
4.482170375,0,1,0,0,0,0,0
4.482670375,1,1,0,0,0,0,0
4.483170438,0,1,0,0,0,0,0
4.483670437,1,1,0,0,0,0,0
4.484170500,0,1,0,0,0,0,0
4.484670500,1,1,0,0,0,0,0
4.485170562,0,1,0,0,0,0,0
4.485670563,1,1,0,0,0,0,0
4.486170562,0,1,0,0,0,0,0
4.486670625,1,1,0,0,0,0,0
4.487170625,0,1,0,0,0,0,0
4.487670687,1,1,0,0,0,0,0
4.488170688,0,1,0,0,0,0,0
4.488670750,1,1,0,0,0,0,0
4.489170750,0,1,0,0,0,0,0
4.489670750,1,1,0,0,0,0,0
4.490170812,0,1,0,0,0,0,0
4.490670813,1,1,0,0,0,0,0
4.491170875,0,1,0,0,0,0,0
4.491670875,1,1,0,0,0,0,0
4.492170875,0,1,0,0,0,0,0
4.492670937,1,1,0,0,0,0,0
4.493170938,0,1,0,0,0,0,0
4.493671000,1,1,0,0,0,0,0
4.494171000,0,1,0,0,0,0,0
4.494671063,1,1,0,0,0,0,0
4.495171062,0,1,0,0,0,0,0
4.495671062,1,1,0,0,0,0,0
4.496171125,0,1,0,0,0,0,0
4.496671125,1,1,0,0,0,0,0
4.497171188,0,1,0,0,0,0,0
4.497671187,1,1,0,0,0,0,0
4.498171250,0,1,0,0,0,0,0
4.498671250,1,1,0,0,0,0,0
4.499171250,0,1,0,0,0,0,0
4.499671313,1,1,0,0,0,0,0
4.500171313,0,1,0,0,0,0,0
4.500671375,1,1,0,0,0,0,0
4.501171375,0,1,0,0,0,0,0
4.501671437,1,1,0,0,0,0,0
4.502171438,0,1,0,0,0,0,0
4.502671438,1,1,0,0,0,0,0
4.503171500,0,1,0,0,0,0,0
4.503671500,1,1,0,0,0,0,0
4.504171562,0,1,0,0,0,0,0
4.504671562,1,1,0,0,0,0,0
4.505171625,0,1,0,0,0,0,0
4.505671625,1,1,0,0,0,0,0
4.506171625,0,1,0,0,0,0,0
4.506671687,1,1,0,0,0,0,0
4.507171687,0,1,0,0,0,0,0
4.507671750,1,1,0,0,0,0,0
4.508171750,0,1,0,0,0,0,0
4.508671813,1,1,0,0,0,0,0
4.509171812,0,1,0,0,0,0,0
4.509671812,1,1,0,0,0,0,0
4.510171875,0,1,0,0,0,0,0
4.510671875,1,1,0,0,0,0,0
4.511171938,0,1,0,0,0,0,0
4.511671938,1,1,0,0,0,0,0
4.512171937,0,1,0,0,0,0,0
4.512672000,1,1,0,0,0,0,0
4.513172000,0,1,0,0,0,0,0
4.513672063,1,1,0,0,0,0,0
4.514172063,0,1,0,0,0,0,0
4.514672125,1,1,0,0,0,0,0
4.515172125,0,1,0,0,0,0,0
4.515672125,1,1,0,0,0,0,0
4.516172187,0,1,0,0,0,0,0
4.516672188,1,1,0,0,0,0,0
4.517172250,0,1,0,0,0,0,0
4.517672250,1,1,0,0,0,0,0
4.518172312,0,1,0,0,0,0,0
4.518672312,1,1,0,0,0,0,0
4.519172313,0,1,0,0,0,0,0
4.519672375,1,1,0,0,0,0,0
4.520172375,0,1,0,0,0,0,0
4.520672438,1,1,0,0,0,0,0
4.521172437,0,1,0,0,0,0,0
4.521672500,1,1,0,0,0,0,0
4.522172500,0,1,0,0,0,0,0
4.522672500,1,1,0,0,0,0,0
4.523172563,0,1,0,0,0,0,0
4.523672562,1,1,0,0,0,0,0
4.524172625,0,1,0,0,0,0,0
4.524672625,1,1,0,0,0,0,0
4.525172687,0,1,0,0,0,0,0
4.525672688,1,1,0,0,0,0,0
4.526172687,0,1,0,0,0,0,0
4.526672750,1,1,0,0,0,0,0
4.527172750,0,1,0,0,0,0,0
4.527672812,1,1,0,0,0,0,0
4.528172813,0,1,0,0,0,0,0
4.528672875,1,1,0,0,0,0,0
4.529172875,0,1,0,0,0,0,0
4.529672875,1,1,0,0,0,0,0
4.530172937,0,1,0,0,0,0,0
4.530672938,1,1,0,0,0,0,0
4.531173000,0,1,0,0,0,0,0
4.531673000,1,1,0,0,0,0,0
4.532173000,0,1,0,0,0,0,0
4.532673062,1,1,0,0,0,0,0
4.533173063,0,1,0,0,0,0,0
4.533673125,1,1,0,0,0,0,0
4.534173125,0,1,0,0,0,0,0
4.534673188,1,1,0,0,0,0,0
4.535173187,0,1,0,0,0,0,0
4.535673187,1,1,0,0,0,0,0
4.536173250,0,1,0,0,0,0,0
4.536673250,1,1,0,0,0,0,0
4.537173313,0,1,0,0,0,0,0
4.537673312,1,1,0,0,0,0,0
4.538173375,0,1,0,0,0,0,0
4.538673375,1,1,0,0,0,0,0
4.539173375,0,1,0,0,0,0,0
4.539673438,1,1,0,0,0,0,0
4.540173438,0,1,0,0,0,0,0
4.540673500,1,1,0,0,0,0,0
4.541173500,0,1,0,0,0,0,0
4.541673562,1,1,0,0,0,0,0
4.542173563,0,1,0,0,0,0,0
4.542673563,1,1,0,0,0,0,0
4.543173625,0,1,0,0,0,0,0
4.543673625,1,1,0,0,0,0,0
4.544173687,0,1,0,0,0,0,0
4.544673687,1,1,0,0,0,0,0
4.545173688,0,1,0,0,0,0,0
4.545673750,1,1,0,0,0,0,0
